id,area,component,kind,label,handlers,disabled,visibilityConditions,title,helpId,testPointers,evidence,reviewFlags
"src/ui/app/AutosaveRecoveryBanner.tsx:11:9","app","AutosaveRecoveryBanner","button-component-call","Restore","{""onClick"":""offer.restore""}","null","[]","null","null","[""src/ui/app/AutosaveRecoveryBanner.test.tsx""]","source-inventory-only","[]"
"src/ui/app/AutosaveRecoveryBanner.tsx:14:9","app","AutosaveRecoveryBanner","button-component-call","Hide","{""onClick"":""offer.hide""}","null","[]","Hide this reminder and keep the autosave","null","[""src/ui/app/AutosaveRecoveryBanner.test.tsx""]","source-inventory-only","[]"
"src/ui/app/DesktopCloseNotice.tsx:16:9","app","DesktopCloseNotice","button-component-call","Keep app open","{""onClick"":""desktopCloseController.keepOpen""}","null","[]","null","null","[""src/ui/app/DesktopCloseNotice.test.tsx""]","source-inventory-only","[]"
"src/ui/app/DesktopCloseNotice.tsx:18:11","app","DesktopCloseNotice","button-component-call","Retry Abort","{""onClick"":""desktopCloseController.retryStop""}","null","[""notice.kind === 'failed'""]","null","null","[""src/ui/app/DesktopCloseNotice.test.tsx""]","source-inventory-only","[]"
"src/ui/app/DesktopCloseNotice.tsx:21:11","app","DesktopCloseNotice","button-component-call","Acknowledge warning and close","{""onClick"":""() => desktopCloseController.acknowledgeWarning(notice)""}","null","[""notice.kind === 'unconfirmed'""]","null","null","[""src/ui/app/DesktopCloseNotice.test.tsx""]","source-inventory-only","[]"
"src/ui/app/ExternalGcodePreviewBanner.tsx:14:7","app","ExternalGcodePreviewBanner","button-component-call","Show project toolpath","{""onClick"":""close""}","null","[]","null","null","[]","source-inventory-only","[]"
"src/ui/app/GcodeSaveDialog.tsx:58:9","app","GcodeSaveDialog","button-component-call","Cancel","{""onClick"":""props.onClose""}","null","[]","null","null","[""src/ui/app/GcodeSaveDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/app/GcodeSaveDialog.tsx:59:9","app","GcodeSaveDialog","button-component-call","Choose destination…","{""onClick"":""save""}","preparation.kind === 'preparing' || preparation.kind === 'failed'","[]","null","null","[""src/ui/app/GcodeSaveDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/app/ProjectBedReconciliationBanner.tsx:23:9","app","ProjectBedReconciliationBanner","button-component-call","Use project machine","{""onClick"":""accept""}","null","[]","null","null","[""src/ui/app/ProjectBedReconciliationBanner.test.tsx""]","source-inventory-only","[]"
"src/ui/app/ProjectBedReconciliationBanner.tsx:26:9","app","ProjectBedReconciliationBanner","button-component-call","Keep current machine","{""onClick"":""keepCurrent""}","null","[]","null","null","[""src/ui/app/ProjectBedReconciliationBanner.test.tsx""]","source-inventory-only","[]"
"src/ui/app/WorkspaceSidePanels.tsx:45:9","app","WorkspaceSidePanels","semantic-control","{active === 'layers' ? <CutsLayersPanel /> : <LaserWindow dockedJobActions />}","{}","null","[]","null","null","[""src/ui/app/WorkspaceSidePanels.test.tsx"",""src/ui/app/workspace-chrome-shortcuts.test.tsx""]","source-inventory-only","[]"
"src/ui/app/WorkspaceSidePanels.tsx:104:5","app","CompactPanelTabs","semantic-control","Side panel","{}","null","[]","null","null","[""src/ui/app/WorkspaceSidePanels.test.tsx"",""src/ui/app/workspace-chrome-shortcuts.test.tsx""]","source-inventory-only","[]"
"src/ui/app/WorkspaceSidePanels.tsx:190:5","app","PanelTab","native-button","props.label","{""onClick"":""props.onSelect"",""onKeyDown"":""moveTabFocus""}","null","[]","`Show ${props.label} panel`","null","[""src/ui/app/WorkspaceSidePanels.test.tsx"",""src/ui/app/workspace-chrome-shortcuts.test.tsx""]","source-inventory-only","[]"
"src/ui/app/WorkspaceSidePanels.tsx:216:5","app","PanelToggle","native-button","{props.label}","{""onClick"":""props.onToggle""}","null","[]","`${props.expanded ? 'Hide' : 'Show'} ${props.label} panel`","null","[""src/ui/app/WorkspaceSidePanels.test.tsx"",""src/ui/app/workspace-chrome-shortcuts.test.tsx""]","source-inventory-only","[]"
"src/ui/box/BoxFitTestDialog.tsx:115:9","box","BoxFitTestDialog","button-component-call","Cancel","{""onClick"":""props.onCancel""}","null","[]","null","null","[""src/ui/box/BoxFitTestDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/box/BoxFitTestDialog.tsx:116:9","box","BoxFitTestDialog","button-component-call","Generate","{}","result.kind !== 'generated'","[]","null","null","[""src/ui/box/BoxFitTestDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/box/BoxGenerationStatus.tsx:21:7","box","action","button-component-call","Cancel preview generation","{""onClick"":""props.onCancel""}","null","[""props.state.kind === 'pending'""]","null","null","[""src/ui/box/BoxGenerationStatus.test.tsx""]","source-inventory-only","[]"
"src/ui/box/BoxGenerationStatus.tsx:23:7","box","action","button-component-call","Retry preview generation","{""onClick"":""props.onRetry""}","null","[""props.state.kind === 'failed' || props.state.kind === 'cancelled'"",""not props.state.kind === 'pending'""]","null","null","[""src/ui/box/BoxGenerationStatus.test.tsx""]","source-inventory-only","[]"
"src/ui/box/BoxGeneratorDialog.tsx:87:9","box","BoxGeneratorDialog","button-component-call","Cancel","{""onClick"":""handleCancel""}","null","[]","null","null","[""src/ui/box/BoxGeneratorDialog.persistence.test.tsx"",""src/ui/box/BoxGeneratorDialog.test.tsx"",""src/ui/box/BoxGeneratorDialog.worker.test.tsx""]","source-inventory-only","[]"
"src/ui/box/BoxGeneratorDialog.tsx:88:9","box","BoxGeneratorDialog","button-component-call","Generate","{}","generation.currentSnapshot === null","[]","null","null","[""src/ui/box/BoxGeneratorDialog.persistence.test.tsx"",""src/ui/box/BoxGeneratorDialog.test.tsx"",""src/ui/box/BoxGeneratorDialog.worker.test.tsx""]","source-inventory-only","[]"
"src/ui/box/BoxGeneratorPreview.tsx:18:9","box","BoxGeneratorPreview","button-component-call","Flat","{""onClick"":""() => props.onSelectView('flat')""}","null","[]","null","null","[]","source-inventory-only","[]"
"src/ui/box/BoxGeneratorPreview.tsx:21:9","box","BoxGeneratorPreview","button-component-call","Assembled","{""onClick"":""() => props.onSelectView('assembled')""}","null","[]","null","null","[]","source-inventory-only","[]"
"src/ui/calibration/IntervalTestDialog.tsx:90:9","calibration","IntervalTestDialog","button-component-call","Cancel","{""onClick"":""props.onCancel""}","null","[]","null","null","[""src/ui/calibration/CalibrationDrafts.validation.test.tsx"",""src/ui/calibration/IntervalTestDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/calibration/IntervalTestDialog.tsx:91:9","calibration","IntervalTestDialog","button-component-call","Generate","{}","issues.length > 0","[]","null","null","[""src/ui/calibration/CalibrationDrafts.validation.test.tsx"",""src/ui/calibration/IntervalTestDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/calibration/MaterialTestDialog.tsx:97:9","calibration","MaterialTestDialog","button-component-call","Cancel","{""onClick"":""props.onCancel""}","null","[]","null","null","[""src/ui/calibration/CalibrationDrafts.validation.test.tsx"",""src/ui/calibration/MaterialTestDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/calibration/MaterialTestDialog.tsx:98:9","calibration","MaterialTestDialog","button-component-call","Generate","{}","issues.length > 0","[]","null","null","[""src/ui/calibration/CalibrationDrafts.validation.test.tsx"",""src/ui/calibration/MaterialTestDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/calibration/ScanOffsetCalibrationDialog.tsx:92:9","calibration","ScanOffsetCalibrationDialog","button-component-call","Cancel","{""onClick"":""props.onCancel""}","null","[]","null","null","[""src/ui/calibration/ScanOffsetCalibrationDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/calibration/ScanOffsetCalibrationDialog.tsx:93:9","calibration","ScanOffsetCalibrationDialog","button-component-call","{mode === 'baseline' ? 'Generate uncorrected baseline' : 'Generate verification coupon'}","{}","null","[]","null","null","[""src/ui/calibration/ScanOffsetCalibrationDialog.test.tsx""]","source-inventory-only","[]"
"src/ui/camera/AutoAlignControls.tsx:24:7","camera","AutoAlignControls","native-button","Align to bed…","{""onClick"":""openWizard""}","!available","[]","alignmentButtonTitle(featureEnabled)","null","[""src/ui/camera/AutoAlignControls.test.tsx""]","source-inventory-only","[]"
"src/ui/camera/NetworkCameraView.tsx:104:11","camera","NetworkCameraView","button-component-call","","{}","null","[]","null","null","[""src/ui/camera/NetworkCameraView.test.ts""]","source-inventory-only","[]"
"src/ui/camera/NetworkCameraView.tsx:110:11","camera","NetworkCameraView","native-button","Re-align","{""onClick"":""resetAlignment""}","null","[]","Re-run the 4-point bed alignment.","null","[""src/ui/camera/NetworkCameraView.test.ts""]","source-inventory-only","[]"
"src/ui/camera/NetworkCameraView.tsx:125:7","camera","NetworkCameraView","other-interactive","","{""onClick"":""handleClick""}","null","[]","null","null","[""src/ui/camera/NetworkCameraView.test.ts""]","source-inventory-only","[""nonsemantic-click-target-review""]"
"src/ui/camera/NetworkCameraView.tsx:166:5","camera","SaveAlignmentButton","native-button","{isCurrent ? 'Saved to device' : 'Save & show on canvas'}","{""onClick"":""() => updateDeviceProfile({ cameraAlignment: { homography: props.homography, frameWidth: props.natural.width, frameHeight: props.natural.height, basis: 'raw', alignedAt: Date.now(), // Manual four-corner alignment targets the bare machine bed. Use // the calibrated marker wizard for non-zero surface compensation. planeHeightMm: 0, capture: cameraCaptureBindingForFrame( machineJpegSource(props.cameraUrl, props.queryFingerprint), props.natural.width, props.natural.height, ), }, })""}","isCurrent","[]","Save this alignment to the device and show the camera on the workspace canvas.","null","[""src/ui/camera/NetworkCameraView.test.ts""]","source-inventory-only","[]"
"src/ui/camera/NetworkCameraView.tsx:230:9","camera","AlignmentControls","native-button","Cancel","{""onClick"":""props.onReset""}","null","[]","Cancel bed alignment and discard the corners clicked so far.","null","[""src/ui/camera/NetworkCameraView.test.ts""]","source-inventory-only","[]"
"src/ui/camera/NetworkCameraView.tsx:245:9","camera","AlignmentControls","native-button","Align to bed","{""onClick"":""props.onBegin""}","null","[]","Try bed alignment again: click each bed corner in the camera view.","null","[""src/ui/camera/NetworkCameraView.test.ts""]","source-inventory-only","[]"
"src/ui/camera/NetworkCameraView.tsx:257:5","camera","AlignmentControls","native-button","Align to bed","{""onClick"":""props.onBegin""}","null","[]","Start the 4-point bed alignment: click each bed corner in the camera view.","null","[""src/ui/camera/NetworkCameraView.test.ts""]","source-inventory-only","[]"
"src/ui/camera/OverlayControls.tsx:65:7","camera","OverlayActionRow","native-button","{props.visible ? 'Overlay on' : 'Overlay off'}","{""onClick"":""props.placement.toggleOverlay""}","null","[]","Show or hide the aligned camera image on the workspace canvas.","null","[]","source-inventory-only","[]"
"src/ui/camera/OverlayControls.tsx:74:7","camera","OverlayActionRow","native-button","Update still","{""onClick"":""() => void props.placement.updateStill()""}","!props.sourceLive","[]","Freeze the current camera frame as the workspace overlay.","null","[]","source-inventory-only","[]"
